,u,i,ts,label,idx
592,15267,13621,19040.0,0.0,2441
593,1553,2937,19042.0,0.0,3571
594,506,3640,19055.0,0.0,6920
595,800,12996,19059.0,0.0,5294
596,506,1525,19059.0,0.0,6920
597,1986,4182,19076.0,0.0,6744
598,611,9509,19083.0,0.0,6067
599,2770,10625,19091.0,0.0,6130
600,1986,5013,19101.0,0.0,6059
601,3789,12617,19109.0,0.0,741
602,15267,6088,19112.0,0.0,2441
603,3789,5577,19118.0,0.0,4435
604,9501,4505,19122.0,0.0,5957
605,2770,7428,19125.0,0.0,2167
606,14067,13897,19133.0,0.0,4230
607,2770,10640,19164.0,0.0,6130
608,72,15073,19167.0,0.0,438
609,1986,4182,19173.0,0.0,2968
610,9501,12604,19175.0,0.0,5957
611,9005,5822,19186.0,0.0,251
612,9060,7588,19191.0,0.0,3164
613,15267,15547,19196.0,0.0,6229
614,1547,7588,19202.0,0.0,5594
615,15267,62,19212.0,0.0,6229
616,15267,62,19217.0,0.0,3345
617,11735,11844,19221.0,0.0,5659
618,3789,12604,19237.0,0.0,4435
619,11735,11844,19239.0,0.0,3534
620,8259,1907,19242.0,0.0,5378
621,2770,10640,19252.0,0.0,2781
622,1846,6906,19255.0,0.0,3792
623,1986,13932,19255.0,0.0,6672
624,1986,4182,19255.0,0.0,6748
625,506,13011,19260.0,0.0,6920
626,10181,9161,19264.0,0.0,179
627,506,14389,19270.0,0.0,6920
628,9501,12091,19274.0,0.0,4856
629,9501,757,19275.0,0.0,5957
630,11735,11844,19290.0,0.0,7237
631,15267,10179,19290.0,0.0,3342
632,2770,10640,19298.0,0.0,2167
633,9501,9161,19311.0,0.0,5957
634,15267,5256,19321.0,0.0,2442
635,8358,12873,19327.0,0.0,1557
636,10181,9161,19328.0,0.0,478
637,9075,9075,19338.0,0.0,4936
638,3789,5955,19341.0,0.0,4435
639,12643,14518,19364.0,0.0,2210
640,506,6839,19368.0,0.0,6920
641,10197,10197,19369.0,0.0,6330
642,12643,10179,19382.0,0.0,2210
643,9501,12091,19388.0,0.0,5957
644,9501,12091,19396.0,0.0,4534
645,15267,13673,19406.0,0.0,2442
646,2770,10640,19406.0,0.0,7139
647,15267,9353,19410.0,0.0,2441
648,3789,12271,19411.0,0.0,4435
649,958,6762,19412.0,0.0,178
650,370,3098,19418.0,0.0,660
651,3789,11446,19427.0,0.0,4435
652,1798,7999,19435.0,0.0,5236
653,370,1167,19439.0,0.0,660
654,1547,3382,19445.0,0.0,5252
655,506,14566,19452.0,0.0,6920
656,41,12091,19459.0,0.0,2804
657,1266,3657,19466.0,0.0,4100
658,3789,6341,19466.0,0.0,4435
659,1986,5794,19471.0,0.0,2218
660,1986,1907,19471.0,0.0,6930
661,9501,9601,19472.0,0.0,5957
662,15267,15547,19479.0,0.0,2442
663,1986,165,19481.0,0.0,6058
664,1986,165,19488.0,0.0,6059
665,15267,15547,19491.0,0.0,2440
666,1986,165,19492.0,0.0,6061
667,15267,62,19493.0,0.0,2440
668,8459,1703,19504.0,0.0,3648
669,15267,12604,19506.0,0.0,2442
670,370,15547,19509.0,0.0,660
671,865,2685,19531.0,0.0,945
672,1986,165,19543.0,0.0,6060
673,128,5076,19544.0,0.0,6516
674,370,1323,19550.0,0.0,660
675,12643,62,19558.0,0.0,2210
676,8226,8226,19561.0,0.0,4062
677,1986,165,19562.0,0.0,6743
678,1986,165,19564.0,0.0,6750
679,1266,5397,19565.0,0.0,4100
680,14067,13897,19575.0,0.0,6625
681,1986,165,19577.0,0.0,6663
682,9501,14551,19579.0,0.0,5957
683,2770,2012,19579.0,0.0,2167
684,9060,7588,19581.0,0.0,5284
685,1986,5013,19588.0,0.0,6058
686,1547,7519,19596.0,0.0,5252
687,3789,2925,19603.0,0.0,4435
688,370,7851,19604.0,0.0,660
689,13897,14067,19604.0,0.0,2128
690,506,6274,19619.0,0.0,6920
691,506,3065,19621.0,0.0,6920
692,506,13477,19654.0,0.0,6920
693,506,7285,19655.0,0.0,6920
694,1449,12398,19673.0,0.0,912
695,1986,7335,19678.0,0.0,2968
696,506,3018,19680.0,0.0,6920
697,2528,2528,19698.0,0.0,6194
698,3789,860,19703.0,0.0,741
699,506,14146,19721.0,0.0,6920
700,15267,13673,19729.0,0.0,5535
701,15267,10179,19732.0,0.0,5590
702,133,363,19739.0,0.0,147
703,15267,4895,19746.0,0.0,6080
704,7360,165,19759.0,0.0,2360
705,133,2880,19761.0,0.0,147
706,1547,577,19780.0,0.0,5252
707,1266,9006,19783.0,0.0,4100
708,15267,13673,19785.0,0.0,3344
709,582,13359,19792.0,0.0,4538
